Society,Price_mean,Price_min,Price_max,Area_mean,Area_min,Area_max,Bedrooms_mean,Bedrooms_min,Bedrooms_max,Bathrooms_mean,Bathrooms_min,Bathrooms_max,Kitchens_mean,Kitchens_min,Kitchens_max,Store Rooms_mean,Store Rooms_min,Store Rooms_max,Servant Quarters_mean,Servant Quarters_min,Servant Quarters_max
"AUDIT & ACCOUNTS PHASE 1, AUDIT & ACCOUNTS HOUSING SOCIETY",18580952.38095238,11800000.0,24000000.0,1789.0714285714287,1089.0,2450.25,3.857142857142857,2.0,6.0,4.190476190476191,2.0,6.0,1.4761904761904763,1.0,2.0,0.5714285714285714,0.0,2.0,0.3333333333333333,0.0,2.0
"AUDIT & ACCOUNTS PHASE 2, AUDIT & ACCOUNTS HOUSING SOCIETY",10000000.0,8500000.0,11500000.0,1089.0,1089.0,1089.0,4.5,4.0,5.0,4.5,4.0,5.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AWT Phase 2,40540000.0,14500000.0,67500000.0,4083.75,2722.5,5445.0,5.0,1.0,8.0,5.3,2.0,7.0,1.65,1.0,2.0,0.4,0.0,2.0,0.5,0.0,1.0
Aabpara Coop Housing Society,89000000.0,89000000.0,89000000.0,5445.0,5445.0,5445.0,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Aamir Town,15990000.0,7600000.0,55000000.0,1125.75375,544.5,5445.0,3.85,3.0,6.0,4.05,3.0,6.0,1.55,1.0,3.0,0.7,0.0,2.0,0.65,0.0,2.0
Aashiana Road,8250000.0,7000000.0,9500000.0,748.6875,680.625,816.75,2.5,2.0,3.0,3.5,3.0,4.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Abbas,25000000.0,25000000.0,25000000.0,1361.25,1361.25,1361.25,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
Abdalians,80900000.0,37500000.0,125000000.0,5009.4,2722.5,10890.0,5.1,4.0,6.0,6.0,5.0,7.0,1.9,1.0,3.0,1.2,0.0,2.0,0.8,0.0,2.0
Abid Garden,14533333.333333334,11500000.0,19100000.0,998.25,816.75,1361.25,3.0,3.0,3.0,4.0,4.0,4.0,1.6666666666666667,1.0,2.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0
Abid Majeed Road,280000000.0,280000000.0,280000000.0,8712.0,8712.0,8712.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aftab Garden,12500000.0,12500000.0,12500000.0,1361.25,1361.25,1361.25,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
Afzal Park,22500000.0,22500000.0,22500000.0,1905.75,1905.75,1905.75,5.0,5.0,5.0,6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrics Town,35000000.0,35000000.0,35000000.0,5445.0,5445.0,5445.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Ahbab Colony,8500000.0,8500000.0,8500000.0,680.625,680.625,680.625,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Air Avenue,55066666.666666664,39900000.0,75000000.0,3176.25,2722.5,5445.0,4.333333333333333,4.0,5.0,5.166666666666667,5.0,6.0,1.8333333333333333,1.0,2.0,1.0,0.0,2.0,1.1666666666666667,1.0,2.0
Airline Housing,58333333.333333336,45000000.0,75000000.0,3856.875,2722.5,5445.0,5.666666666666667,4.0,7.0,6.0,4.0,7.0,1.9166666666666667,1.0,3.0,0.75,0.0,2.0,0.6666666666666666,0.0,2.0
Airport Road,21200000.0,12000000.0,45000000.0,1482.25,816.75,3811.5,3.3333333333333335,3.0,5.0,4.333333333333333,4.0,6.0,1.3333333333333333,1.0,2.0,0.8888888888888888,0.0,1.0,0.3333333333333333,0.0,1.0
Aitchison Society,32383333.333333332,26500000.0,35000000.0,2541.0,2178.0,2722.5,5.5,5.0,6.0,5.833333333333333,5.0,7.0,1.6666666666666667,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Al Faisal Town,5575000.0,4300000.0,8000000.0,415.18125,272.25,680.625,2.5,2.0,3.0,2.25,2.0,3.0,1.25,1.0,2.0,0.75,0.0,1.0,0.5,0.0,2.0
Al Falah Town,14700000.0,6500000.0,24000000.0,939.2624999999999,408.375,1361.25,3.0,2.0,5.0,3.5,2.0,5.0,1.6666666666666667,1.0,2.0,0.5,0.0,1.0,0.3333333333333333,0.0,1.0
